model,rows,attacks,benign,det_accuracy,det_precision,det_recall,det_fpr,det_f1,hard_accuracy,hard_precision,hard_recall,hard_fpr,hard_f1,access_decision_precision,flagged_rate,hard_rate
baseline_static,50000.0,3000.0,47000.0,0.22332,0.07154813716581376,0.9973333333333333,0.8260851063829787,0.1335177830336026,0.42682,0.08368757503975079,0.8596666666666667,0.6008085106382979,0.1525268356152231,0.07154813716581376,0.83636,0.61634
baseline_siem,50000.0,3000.0,47000.0,0.22094,0.07150859294925274,1.0,0.8287872340425532,0.13347273819322406,0.48248,0.10345305782831785,0.9946666666666667,0.5502127659574468,0.1874136415023238,0.07150859294925274,0.83906,0.57688
baseline_raac_iforest,50000.0,3000.0,47000.0,0.72292,0.17799928800284798,1.0,0.2947659574468085,0.30220610456331215,0.91868,0.40981387478849407,0.8073333333333333,0.0742127659574468,0.5436588103254769,0.17799928800284798,0.33708,0.1182
afozt,50000.0,3000.0,47000.0,0.85868,0.29738887781542755,0.9946666666666667,0.15,0.45787939235844716,0.97564,0.9316860465116279,0.641,0.003,0.759478672985782,0.29738887781542755,0.20068,0.04128
